Noise = 0.00,Noise = 0.10,Noise = 0.20,Noise = 0.30,Noise = 0.40,Noise = 0.50,,,,,,,,,,,,,,, 
0.24848,0.264684,0.26061,0.243634,0.247889,0.250608,,,,,,,,,,,,,,, 
0.061311,0.159139,0.156234,0.191078,0.189346,0.201311,,,,,,,,,,,,,,, 
0.010919,0.047595,0.12315,0.188018,0.20017,0.192592,,,,,,,,,,,,,,, 
0.000264,0.03474,0.153607,0.212455,0.187874,0.189982,,,,,,,,,,,,,,, 
0.000224,0.035049,0.036542,0.170933,0.189112,0.20003,,,,,,,,,,,,,,, 
0.000196,0.021625,0.02234,0.142614,0.19524,0.202752,,,,,,,,,,,,,,,
0.000176,0.007108,0.071804,0.089735,0.195685,0.198383,,,,,,,,,,,,,,,
0.000161,0.011284,0.022286,0.125751,0.186747,0.204478,,,,,,,,,,,,,,,
0.000148,0.031416,0.038045,0.086956,0.164411,0.190005,,,,,,,,,,,,,,,
0.000138,0.012496,0.032429,0.089579,0.202249,0.210001,,,,,,,,,,,,,,,
0.000129,0.00047,0.048247,0.058781,0.152221,0.212175,,,,,,,,,,,,,,,
0.000121,0.002324,0.039234,0.09068,0.187521,0.17985,,,,,,,,,,,,,,,
0.000115,0.000198,0.012578,0.06363,0.150287,0.222251,,,,,,,,,,,,,,,
0.000109,0.000054,0.042207,0.110153,0.177821,0.189999,,,,,,,,,,,,,,,
0.000104,0.009021,0.02122,0.103701,0.199753,0.202052,,,,,,,,,,,,,,,
0.000099,0.000961,0.000005,0.088052,0.17492,0.200229,,,,,,,,,,,,,,,
0.000095,0.010331,0.008474,0.075362,0.191442,0.201137,,,,,,,,,,,,,,,
0.000091,0.009011,0.029147,0.037932,0.16219,0.198905,,,,,,,,,,,,,,,
0.000088,0.008592,0.052558,0.077519,0.187967,0.218643,,,,,,,,,,,,,,,
0.000084,0.000001,0.018078,0.099763,0.19524,0.196615,,,,,,,,,,,,,,,
