Rate = 0.1,Rate = 0.01,Rate = 0.001,Rate = 0.0001,,,,,,,,,,,,,,,,,
0.033268,0.03773,0.055429,0.114094,,,,,,,,,,,,,,,,,
0.033545,0.03538,0.047632,0.0904,,,,,,,,,,,,,,,,,
0.034697,0.034522,0.044332,0.078948,,,,,,,,,,,,,,,,, 
0.037233,0.034064,0.0424,0.072013,,,,,,,,,,,,,,,,,
0.033317,0.033768,0.041076,0.067293,,,,,,,,,,,,,,,,,
0.036658,0.033559,0.040088,0.063842,,,,,,,,,,,,,,,,,
0.034846,0.033405,0.039311,0.061188,,,,,,,,,,,,,,,,,
0.035504,0.033289,0.038679,0.059072,,,,,,,,,,,,,,,,,
0.035388,0.0332,0.038152,0.057338,,,,,,,,,,,,,,,,,
0.03546,0.033131,0.037705,0.055885,,,,,,,,,,,,,,,,,
0.036627,0.033076,0.03732,0.054646,,,,,,,,,,,,,,,,,
0.036728,0.033033,0.036984,0.053575,,,,,,,,,,,,,,,,,
0.034947,0.032999,0.036689,0.052636,,,,,,,,,,,,,,,,,
0.035056,0.032972,0.036426,0.051805,,,,,,,,,,,,,,,,,
0.035842,0.032949,0.036191,0.051063,,,,,,,,,,,,,,,,,
0.038106,0.032931,0.03598,0.050395,,,,,,,,,,,,,,,,,
0.038314,0.032916,0.035787,0.04979,,,,,,,,,,,,,,,,,
0.036818,0.032904,0.035612,0.049239,,,,,,,,,,,,,,,,,
0.038415,0.032894,0.035451,0.048733,,,,,,,,,,,,,,,,,
0.03827,0.032886,0.035303,0.048267,,,,,,,,,,,,,,,,,
